result,count
low,18
lose,10
miss,5
risk,3
problem,3
shake,3
fear,3
kill,2
avoid,2
wrong,2
defeat,2
shame,2
sorry,2
tears,2
bad,2
messy,1
ruin,1
sadly,1
scream,1
moody,1
sad,1
attack,1
harm,1
fume,1
fight,1
fail,1
exhaust,1
dull,1
dread,1
doubt,1
devil,1
danger,1
cry,1
critical,1
hit,1
