result,count
miss,7
lose,6
bad,3
low,3
nervous,2
teas,2
threat,2
tough,2
grief,2
grave,2
war,2
difficult,2
cut,2
scare,1
weird,1
stress,1
spite,1
abandon,1
savage,1
risk,1
pathetic,1
loss,1
kill,1
fight,1
doubt,1
wrong,1
