result,count
great,13
lovely,3
nice,3
love,2
fantastic,2
friend,2
gorgeous,2
happy,2
create,2
thank,1
win,1
vital,1
trust,1
thanks,1
commitment,1
sure,1
support,1
interest,1
ha,1
good,1
wow,1
