,text,text1
0,Adare Farm supporting #Adare in #LimerickGoingForGold Txt GOLD ADARE to 53095 lines open from 12noon this Wednesday! http://t.co/XKXHzLYygg,adare farm support adare limerickgoingforgold txt gold adare line open noon wednesday
1,Adare Manor team and @adaretidytowns ready for this year’s Team Limerick Clean-Up in Adare! #TLC7 @TLC_Limerick #Adare https://t.co/OerzZhMTbG,adare manor team adaretidytown ready year s team limerick clean adare tlc tlc limerick adare
2,"En Plein Air, Adare. Third placed submission by Tralee based Jane Hilliard. Painted on the day from her vantage point on the bandstand Adare Village Park #Irishart #landscaping #limerick #bandstand #adare https://t.co/7ueqFqtuZf",en plein air adare place submission tralee base jane hilliard paint day vantage point bandstand adare village park irishart landscape limerick bandstand adare
3,Adare Manor coming on every time I'm here ..will be some course #adare https://t.co/kLOF2QV0cX,adare manor come time course adare
4,This creep keeps following me around... #adare #roadtrip #summerofdreams @ Adare Manor Hotel http://t.co/2tUj0F8nsc,creep keep follow adare roadtrip summerofdream adare manor hotel
